,folder_name,auc modified_BRM_cosine_similarity_,auc minmax norm modified_BRM_cosine_similarity_,auc std norm modified_BRM_cosine_similarity_,auc minmax std norm modified_BRM_cosine_similarity_,folder_name,auc modified_BRM_manhattan_distances_,auc minmax norm modified_BRM_manhattan_distances_,auc std norm modified_BRM_manhattan_distances_,auc minmax std norm modified_BRM_manhattan_distances_,folder_name,auc modified_BRM_euclidean_distances_,auc minmax norm modified_BRM_euclidean_distances_,auc std norm modified_BRM_euclidean_distances_,auc minmax std norm modified_BRM_euclidean_distances_,folder_name,auc GaussianMixture,auc minmax norm GaussianMixture,auc std norm GaussianMixture,auc minmax std norm GaussianMixture,folder_name,auc IsolationForest,auc minmax norm IsolationForest,auc std norm IsolationForest,auc minmax std norm IsolationForest,folder_name,auc OneClassSVM,auc minmax norm OneClassSVM,auc std norm OneClassSVM,auc minmax std norm OneClassSVM
10,glass-0-6_vs_5,0.5249999999999999,0.55,0.525,0.5,glass-0-6_vs_5,0.875,0.875,0.875,0.875,glass-0-6_vs_5,0.875,0.875,0.875,0.875,yeast-0-2-5-7-9_vs_3-6-8,0.7798342541436464,0.7798342541436464,0.7798342541436464,0.7798342541436464,glass-0-6_vs_5,0.75,0.75,0.75,0.7250000000000001,glass-0-6_vs_5,0.875,0.5,0.7,0.7
11,glass-0-4_vs_5,1.0,1.0,1.0,1.0,glass-0-4_vs_5,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,glass-0-4_vs_5,0.8529411764705882,0.8235294117647058,0.8529411764705882,0.8235294117647058,glass4,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.7416666666666667,glass-0-4_vs_5,0.8529411764705882,0.8235294117647058,0.7352941176470589,0.8529411764705882,glass-0-4_vs_5,0.5294117647058824,0.6764705882352942,0.7941176470588236,0.7941176470588236
12,ecoli-0-1_vs_2-3-5,0.5727272727272728,0.5727272727272728,0.5545454545454546,0.5681818181818182,ecoli-0-1_vs_2-3-5,1.0,1.0,1.0,1.0,ecoli-0-1_vs_2-3-5,0.9954545454545456,0.9954545454545456,0.9954545454545456,0.9954545454545456,ecoli-0-6-7_vs_3-5,0.925,0.925,0.925,0.925,ecoli-0-1_vs_2-3-5,0.990909090909091,0.990909090909091,0.9863636363636364,0.9863636363636364,ecoli-0-1_vs_2-3-5,0.9727272727272728,0.9727272727272728,0.9954545454545456,0.9954545454545456
13,yeast-0-2-5-7-9_vs_3-6-8,0.7350828729281768,0.7245856353591159,0.7245856353591159,0.7245856353591159,yeast-0-2-5-7-9_vs_3-6-8,0.8240331491712707,0.8215469613259668,0.8281767955801105,0.8262430939226519,yeast-0-2-5-7-9_vs_3-6-8,0.8477900552486188,0.848342541436464,0.8425414364640884,0.843646408839779,yeast6,0.8064039408866995,0.8064039408866995,0.8064039408866995,0.8064039408866995,yeast-0-2-5-7-9_vs_3-6-8,0.8140883977900553,0.8174033149171271,0.8165745856353591,0.8223756906077349,yeast-0-2-5-7-9_vs_3-6-8,0.8146408839779005,0.8323204419889503,0.8060773480662984,0.8060773480662984
14,ecoli-0-2-6-7_vs_3-5,0.95,0.95,0.95,0.95,ecoli-0-2-6-7_vs_3-5,0.98,0.975,0.98,0.98,ecoli-0-2-6-7_vs_3-5,0.99,0.99,0.99,0.99,yeast4,0.7593769866497141,0.7593769866497141,0.7593769866497141,0.7593769866497141,ecoli-0-2-6-7_vs_3-5,0.88,0.935,0.965,0.97,ecoli-0-2-6-7_vs_3-5,0.97,0.985,0.985,0.985
15,ecoli-0-3-4-7_vs_5-6,0.8,0.8085106382978724,0.8170212765957447,0.8085106382978724,ecoli-0-3-4-7_vs_5-6,0.9106382978723404,0.9191489361702128,0.9191489361702128,0.9148936170212766,ecoli-0-3-4-7_vs_5-6,0.9234042553191488,0.9191489361702128,0.9191489361702128,0.9191489361702128,zoo-3,0.7,0.7,0.7,0.7,ecoli-0-3-4-7_vs_5-6,0.8723404255319149,0.8723404255319149,0.8936170212765957,0.8680851063829786,ecoli-0-3-4-7_vs_5-6,0.8808510638297872,0.8851063829787233,0.9106382978723404,0.9106382978723404
16,vehicle0,0.7207692307692307,0.7190384615384615,0.7194230769230769,0.7167307692307692,vehicle0,0.8680769230769231,0.8701923076923077,0.8674999999999999,0.8663461538461539,vehicle0,0.8284615384615385,0.8290384615384615,0.83,0.8284615384615385,yeast-0-5-6-7-9_vs_4,0.5923444976076555,0.5923444976076555,0.5923444976076555,0.5923444976076555,vehicle0,0.6957692307692307,0.7230769230769231,0.6488461538461539,0.6826923076923077,vehicle0,0.6934615384615385,0.5196153846153846,0.5282692307692307,0.5282692307692307
17,ecoli-0-1-3-7_vs_2-6,0.7181818181818183,0.7272727272727273,0.7090909090909091,0.7090909090909091,ecoli-0-1-3-7_vs_2-6,0.990909090909091,0.990909090909091,0.990909090909091,0.990909090909091,ecoli-0-1-3-7_vs_2-6,0.990909090909091,0.990909090909091,0.990909090909091,0.990909090909091,new-thyroid1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,ecoli-0-1-3-7_vs_2-6,0.9727272727272728,0.9545454545454546,0.9727272727272728,0.9727272727272728,ecoli-0-1-3-7_vs_2-6,0.9545454545454546,0.9818181818181818,0.990909090909091,0.990909090909091
18,kr-vs-k-zero_vs_eight,0.6398601398601398,0.7185314685314685,0.5827505827505828,0.6451048951048951,kr-vs-k-zero_vs_eight,0.972027972027972,0.9743589743589745,0.9737762237762236,0.9714452214452214,kr-vs-k-zero_vs_eight,0.9726107226107226,0.9746503496503496,0.9731934731934732,0.9737762237762236,car-good,0.9100688468158348,0.9100688468158348,0.9100688468158348,0.9100688468158348,kr-vs-k-zero_vs_eight,0.7692307692307693,0.7488344988344988,0.7674825174825175,0.6206293706293706,kr-vs-k-zero_vs_eight,0.5565268065268065,0.7482517482517482,0.7768065268065268,0.7768065268065268
19,winequality-red-4,0.5934098264195352,0.5972344807296264,0.597822889085025,0.5881141512209473,winequality-red-4,0.6287143277434539,0.6084142394822006,0.6160635481023831,0.6140041188584878,winequality-red-4,0.6151809355692851,0.5989997057958223,0.6231244483671668,0.6160635481023831,winequality-red-4,0.5228008237716976,0.5113268608414239,0.5113268608414239,0.5113268608414239,winequality-red-4,0.5522212415416299,0.5175051485731097,0.5407472786113563,0.5407472786113563,winequality-red-4,0.6240070609002648,0.5483965872315386,0.5354516034127685,0.5354516034127685
20,ecoli-0-1-4-6_vs_5,0.6057692307692308,0.6346153846153846,0.6201923076923077,0.6298076923076923,ecoli-0-1-4-6_vs_5,0.9278846153846154,0.9230769230769232,0.9182692307692308,0.9182692307692308,ecoli-0-1-4-6_vs_5,0.9278846153846154,0.9230769230769232,0.9326923076923076,0.9423076923076924,poker-9_vs_7,0.9680851063829788,0.9680851063829788,0.9680851063829788,0.9680851063829788,ecoli-0-1-4-6_vs_5,0.9182692307692308,0.908653846153846,0.908653846153846,0.8894230769230769,ecoli-0-1-4-6_vs_5,0.8942307692307692,0.8990384615384615,0.908653846153846,0.908653846153846
